,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
1,0.1014,0.1114,0.0163,0.009,0.6835,0.0798,0.20190000000000005,0.0552,0.013600000000000004,0.716
2,0.057,0.5016,0.4481,0.3494,0.7749,0.0369,0.6296999999999999,0.6502,0.5626,0.8001
3,0.0309,0.7439,0.7519,0.6886,0.8368,0.026,0.7283,0.7565,0.7066,0.839
4,0.0217,0.8218,0.8288,0.7916,0.8731,0.0179,0.7916,0.8182999999999999,0.7878,0.8744
5,0.0179,0.8529,0.859,0.8311,0.8911,0.0148,0.8163999999999999,0.8412,0.8177,0.8891
6,0.0158,0.8697,0.875,0.8517,0.9016,0.0139,0.826,0.8495999999999999,0.8311,0.8916999999999999
7,0.0141,0.8836,0.8883,0.8681,0.9112,0.014,0.824,0.8488,0.8316,0.8893
8,0.0129,0.8943,0.8983,0.8807,0.918,0.0136,0.8291999999999999,0.8533,0.8378,0.892
9,0.0118,0.9032,0.9065,0.8907,0.9241,0.0112,0.8492,0.8721,0.8593,0.9077999999999999
10,0.011,0.91,0.9136,0.8995,0.9292,0.0111,0.8503999999999999,0.8726999999999999,0.8609,0.9072
11,0.0106,0.9133,0.9165,0.9031,0.9312,0.0094,0.8636999999999999,0.8855,0.8727999999999999,0.9211
12,0.01,0.9187,0.9215,0.9091,0.9352,0.0084,0.8712,0.8928999999999999,0.8827999999999999,0.9254
13,0.0094,0.924,0.9268,0.9153,0.9394,0.008,0.8751,0.8965,0.8868999999999999,0.9286
14,0.0087,0.9289,0.9311,0.9208,0.9423,0.0089,0.8663,0.888,0.8784,0.9198999999999999
15,0.0083,0.9316,0.9341,0.9243,0.9448,0.0074,0.8801,0.9017,0.894,0.9315
16,0.0079,0.9354,0.9374,0.9283,0.9471,0.0072,0.8813,0.9027999999999999,0.8956999999999999,0.9319
17,0.0077,0.938,0.9397,0.9312,0.949,0.0074,0.8805999999999999,0.9009999999999999,0.8947999999999999,0.9294
18,0.0073,0.941,0.9426,0.9349,0.951,0.0078,0.8779999999999999,0.8989999999999999,0.8927999999999999,0.9272
19,0.007,0.9437,0.9455,0.9382,0.9534,0.0084,0.8733,0.8942,0.8874,0.9231
20,0.0068,0.945,0.9469,0.9398,0.9546,0.0083,0.8753,0.8965,0.8898999999999999,0.9252
