epoch,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
1,0.0953,0.1633,0.055,0.0361,0.6545,0.1008,0.135,0.0658,0.0426,0.5791
2,0.0771,0.2806,0.159,0.1081,0.6798,0.0928,0.2081,0.1345,0.0908,0.5745
3,0.0644,0.3904,0.2793,0.2016,0.7021,0.0884,0.2736,0.2048,0.1445,0.5753
4,0.0554,0.486,0.4115,0.3231,0.7052,0.0851,0.333,0.3201,0.2444,0.5913
5,0.0471,0.5744,0.5359,0.4559,0.7223,0.0857,0.3686,0.3708,0.2966,0.5795
6,0.0412,0.6347,0.6161,0.5486,0.7457,0.0829,0.3877,0.389,0.3254,0.5402
7,0.037,0.678,0.6665,0.6101,0.7642,0.086,0.401,0.3992,0.3483,0.5013
8,0.0321,0.7238,0.7165,0.6709,0.7902,0.0815,0.4413,0.4477,0.397,0.5461
9,0.0283,0.7594,0.7573,0.7197,0.816,0.0775,0.452,0.4775,0.4073,0.6327
10,0.0246,0.7952,0.7942,0.7647,0.8381,0.0752,0.4929,0.5141,0.4611,0.6099
11,0.0218,0.8222,0.8206,0.7963,0.8562,0.0813,0.4805,0.4875,0.4559,0.5386
12,0.0197,0.8387,0.8387,0.8193,0.8668,0.0761,0.4952,0.5111,0.4677,0.5877
13,0.018,0.8543,0.8545,0.8372,0.8794,0.079,0.513,0.5359,0.4828,0.6316
14,0.0166,0.8675,0.8679,0.8529,0.8891,0.0747,0.5339,0.5584,0.5018,0.6637
15,0.0153,0.879,0.8797,0.8675,0.8969,0.0777,0.5366,0.5556,0.5129,0.6278
16,0.014,0.8889,0.8893,0.8785,0.9047,0.0896,0.4789,0.4816,0.4579,0.5178
17,0.0133,0.8941,0.8941,0.8838,0.9085,0.085,0.5173,0.5241,0.5034,0.5552
18,0.012,0.9049,0.9054,0.8965,0.9176,0.0868,0.5396,0.5512,0.5254,0.5908
19,0.0117,0.9091,0.9091,0.9015,0.9199,0.093,0.5223,0.5254,0.5102,0.5474
