,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
1,0.3561,0.9194,0.907,0.9176,0.9116,0.2517,0.9466,0.935,0.9439,0.9461
2,0.0408,0.9919,0.99,0.9916,0.9912,0.0463,0.99,0.9881,0.9899,0.9896
3,0.0281,0.9941,0.9926,0.9937,0.9934,0.0854,0.9712,0.9621,0.9692,0.9663
4,0.0204,0.9957,0.9945,0.9953,0.9952,0.0102,0.9977,0.9973,0.9976,0.9976
5,0.0156,0.9963,0.9954,0.9961,0.9958,0.0139,0.9973,0.9967,0.9971,0.9971
6,0.0145,0.9967,0.9958,0.9964,0.9964,0.0134,0.9971,0.9959,0.9963,0.9964
7,0.0125,0.9973,0.9966,0.9972,0.997,0.0138,0.9966,0.9958,0.9964,0.9962
8,0.0104,0.9976,0.9968,0.9973,0.9971,0.0102,0.9977,0.9972,0.9975,0.9977
9,0.0104,0.9976,0.997,0.9975,0.9973,0.02,0.9956,0.9944,0.9952,0.9949
10,0.0077,0.9982,0.9977,0.9981,0.998,0.0114,0.9974,0.997,0.9971,0.9976
11,0.0066,0.9983,0.9979,0.9982,0.998,0.0136,0.9973,0.9967,0.9971,0.9972
12,0.0059,0.9987,0.9984,0.9987,0.9986,0.0081,0.9983,0.998,0.9983,0.9983
13,0.0057,0.9987,0.9983,0.9986,0.9984,0.0083,0.9977,0.9972,0.9975,0.9976
14,0.0042,0.9989,0.9987,0.999,0.9988,0.0126,0.9975,0.9968,0.9971,0.9971
15,0.0068,0.9985,0.9981,0.9983,0.9983,0.0058,0.9987,0.9985,0.9987,0.9986
16,0.0047,0.9989,0.9986,0.9987,0.9987,0.0065,0.9986,0.9983,0.9985,0.9986
17,0.0053,0.9989,0.9986,0.9989,0.9988,0.0068,0.9987,0.9983,0.9985,0.9985
18,0.0037,0.9991,0.9988,0.999,0.9989,0.0058,0.999,0.9988,0.9989,0.999
19,0.0038,0.9991,0.9988,0.9991,0.9989,0.008,0.9982,0.9979,0.9982,0.9982
20,0.0029,0.9992,0.9991,0.9992,0.9992,0.0049,0.9989,0.9987,0.9988,0.9989
21,0.0027,0.9994,0.9992,0.9994,0.9993,0.0066,0.9987,0.9982,0.9984,0.9984
22,0.0032,0.9993,0.9991,0.9993,0.9992,0.0041,0.9993,0.9991,0.9992,0.9993
23,0.0021,0.9995,0.9992,0.9993,0.9993,0.0062,0.9989,0.9987,0.9989,0.9987
24,0.0037,0.9992,0.999,0.9991,0.9991,0.0109,0.998,0.9975,0.9979,0.9978
25,0.0025,0.9994,0.9993,0.9994,0.9993,0.0071,0.9983,0.9978,0.9982,0.9979
27,0.0023,0.9995,0.9993,0.9994,0.9993,0.006,0.9987,0.9985,0.9986,0.9987
28,0.0027,0.9993,0.9992,0.9993,0.9993,0.0042,0.9992,0.9991,0.9992,0.9993
29,0.0022,0.9995,0.9993,0.9994,0.9994,0.0064,0.9986,0.9981,0.9983,0.9984
30,0.0018,0.9996,0.9995,0.9996,0.9996,0.0032,0.9993,0.9992,0.9993,0.9994
31,0.0023,0.9995,0.9994,0.9996,0.9994,0.0058,0.9989,0.9989,0.999,0.9991
32,0.0017,0.9996,0.9996,0.9996,0.9997,0.0056,0.9989,0.9988,0.999,0.999
33,0.0018,0.9996,0.9995,0.9995,0.9995,0.0046,0.9991,0.9989,0.9991,0.9991
34,0.0011,0.9997,0.9997,0.9997,0.9997,0.0079,0.9986,0.9983,0.9984,0.9986
35,0.0018,0.9996,0.9994,0.9995,0.9994,0.0064,0.9987,0.998,0.9982,0.9982
36,0.0029,0.9994,0.9993,0.9994,0.9993,0.0055,0.9989,0.9987,0.9988,0.9988
37,0.001,0.9998,0.9997,0.9998,0.9998,0.0039,0.9991,0.9988,0.999,0.9989
38,0.0015,0.9996,0.9995,0.9996,0.9996,0.0048,0.9991,0.9989,0.999,0.9991
39,0.0019,0.9996,0.9995,0.9996,0.9995,0.0038,0.9993,0.9991,0.9992,0.9992
40,0.0016,0.9997,0.9996,0.9996,0.9996,0.007,0.9987,0.9985,0.9986,0.9988
41,0.0017,0.9996,0.9995,0.9996,0.9995,0.0059,0.9988,0.9985,0.9987,0.9987
42,0.0006,0.9999,0.9999,0.9999,0.9999,0.005,0.9991,0.9989,0.9991,0.9991
43,0.0019,0.9996,0.9995,0.9996,0.9996,0.006,0.9988,0.9983,0.9985,0.9984
44,0.0017,0.9996,0.9996,0.9997,0.9996,0.0052,0.999,0.999,0.9991,0.9991
45,0.0007,0.9999,0.9998,0.9999,0.9999,0.0063,0.9988,0.9985,0.9986,0.9987
46,0.0017,0.9997,0.9996,0.9996,0.9996,0.0048,0.9991,0.9988,0.9989,0.999
47,0.0011,0.9998,0.9997,0.9998,0.9998,0.0059,0.9989,0.9986,0.9987,0.9988
48,0.0017,0.9997,0.9997,0.9997,0.9997,0.0067,0.9988,0.9982,0.9984,0.9985
49,0.0007,0.9999,0.9999,0.9999,0.9999,0.004,0.9993,0.9993,0.9995,0.9993
50,0.0001,1.0,1.0,1.0,1.0,0.0042,0.9993,0.9992,0.9992,0.9994
51,0.0,1.0,1.0,1.0,1.0,0.0047,0.9992,0.999,0.999,0.9991
52,0.0016,0.9997,0.9996,0.9997,0.9997,0.011,0.9978,0.9968,0.9972,0.9971
53,0.0022,0.9995,0.9995,0.9996,0.9995,0.0057,0.999,0.9989,0.9991,0.9991
54,0.0007,0.9999,0.9998,0.9999,0.9999,0.0069,0.9988,0.9984,0.9987,0.9985
55,0.0014,0.9997,0.9997,0.9997,0.9997,0.0061,0.999,0.9988,0.9989,0.9991
56,0.0008,0.9998,0.9998,0.9998,0.9998,0.0051,0.9993,0.9991,0.9992,0.9993
57,0.0011,0.9998,0.9997,0.9997,0.9997,0.006,0.999,0.9988,0.9989,0.9989
58,0.0014,0.9996,0.9995,0.9996,0.9996,0.0058,0.9989,0.9986,0.9988,0.9986
59,0.001,0.9998,0.9998,0.9999,0.9998,0.0062,0.9989,0.9987,0.9989,0.9988
60,0.0011,0.9998,0.9998,0.9998,0.9998,0.0064,0.9991,0.999,0.9992,0.9992
61,0.0008,0.9998,0.9998,0.9998,0.9998,0.0044,0.9993,0.999,0.9992,0.9991
62,0.001,0.9997,0.9996,0.9997,0.9997,0.006,0.9992,0.9989,0.9991,0.9991
63,0.0021,0.9996,0.9996,0.9996,0.9996,0.0045,0.9991,0.999,0.9991,0.9992
64,0.0002,1.0,0.9999,1.0,1.0,0.0039,0.9993,0.9993,0.9994,0.9994
65,0.0,1.0,1.0,1.0,1.0,0.0041,0.9994,0.9992,0.9993,0.9994
66,0.0,1.0,1.0,1.0,1.0,0.004,0.9994,0.9993,0.9995,0.9994
67,0.0,1.0,1.0,1.0,1.0,0.0042,0.9994,0.9994,0.9994,0.9994
68,0.0,1.0,1.0,1.0,1.0,0.0042,0.9994,0.9991,0.9992,0.9992
69,0.0,1.0,1.0,1.0,1.0,0.0042,0.9994,0.9994,0.9994,0.9995
70,0.0,1.0,1.0,1.0,1.0,0.0043,0.9994,0.9994,0.9995,0.9994
71,0.0,1.0,1.0,1.0,1.0,0.0044,0.9994,0.9995,0.9996,0.9995
72,0.0,1.0,1.0,1.0,1.0,0.0044,0.9994,0.9994,0.9995,0.9995
73,0.0,1.0,1.0,1.0,1.0,0.0046,0.9994,0.9992,0.9993,0.9993
74,0.0028,0.9995,0.9993,0.9994,0.9993,0.0059,0.9988,0.9985,0.9986,0.9987
75,0.0013,0.9998,0.9997,0.9997,0.9997,0.0073,0.9986,0.9984,0.9985,0.9987
76,0.0006,0.9999,0.9999,0.9999,0.9999,0.0062,0.9989,0.9986,0.9988,0.9988
77,0.0008,0.9998,0.9996,0.9996,0.9996,0.0057,0.999,0.9989,0.999,0.9991
78,0.0013,0.9998,0.9997,0.9998,0.9997,0.0033,0.9994,0.9992,0.9994,0.9993
79,0.0006,0.9998,0.9998,0.9999,0.9998,0.0029,0.9994,0.9992,0.9993,0.9993
80,0.001,0.9998,0.9998,0.9998,0.9998,0.0043,0.9992,0.9989,0.9991,0.9991
81,0.0004,0.9999,0.9999,0.9999,0.9999,0.0031,0.9993,0.9992,0.9994,0.9993
82,0.002,0.9996,0.9995,0.9996,0.9995,0.0061,0.9987,0.9985,0.9986,0.9987
83,0.0007,0.9999,0.9998,0.9999,0.9998,0.005,0.9992,0.9991,0.9991,0.9992
84,0.0008,0.9999,0.9998,0.9999,0.9998,0.0045,0.9991,0.9991,0.9993,0.9992
85,0.0009,0.9998,0.9997,0.9997,0.9997,0.0039,0.9992,0.999,0.9991,0.9992
86,0.0006,0.9999,0.9998,0.9999,0.9998,0.0095,0.9986,0.9985,0.9987,0.9987
87,0.0008,0.9998,0.9998,0.9998,0.9998,0.0058,0.999,0.9987,0.9989,0.999
88,0.0004,0.9999,0.9999,0.9999,0.9999,0.0093,0.9984,0.9977,0.9981,0.9978
89,0.0008,0.9999,0.9998,0.9998,0.9998,0.0063,0.999,0.9988,0.9989,0.9989
90,0.0006,0.9999,0.9999,0.9999,0.9999,0.0052,0.9992,0.999,0.9992,0.9991
91,0.0009,0.9998,0.9997,0.9998,0.9998,0.0068,0.9989,0.9988,0.999,0.999
92,0.0014,0.9997,0.9996,0.9997,0.9996,0.0061,0.9989,0.9986,0.9987,0.9988
93,0.0008,0.9998,0.9998,0.9998,0.9998,0.0045,0.9992,0.999,0.9992,0.999
94,0.0002,1.0,0.9999,1.0,0.9999,0.0048,0.9992,0.999,0.9991,0.9992
95,0.0,1.0,1.0,1.0,1.0,0.0048,0.9992,0.9989,0.999,0.999
96,0.0005,0.9999,0.9999,0.9999,0.9999,0.0081,0.9988,0.9984,0.9986,0.9986
97,0.0012,0.9997,0.9997,0.9997,0.9997,0.0061,0.999,0.9985,0.9985,0.9987
98,0.0009,0.9998,0.9998,0.9998,0.9998,0.0038,0.9992,0.999,0.9991,0.9992
99,0.0005,0.9999,0.9999,0.9999,0.9999,0.0058,0.9989,0.9985,0.9986,0.9986
100,0.0011,0.9997,0.9997,0.9998,0.9997,0.0041,0.9992,0.999,0.9992,0.9991
101,0.0001,1.0,1.0,1.0,1.0,0.004,0.9992,0.999,0.9992,0.9991
102,0.0004,0.9999,0.9999,0.9999,0.9999,0.0049,0.9989,0.9987,0.9989,0.9988
103,0.0006,0.9999,0.9998,0.9999,0.9999,0.0039,0.9992,0.9992,0.9993,0.9993
104,0.0006,0.9999,0.9999,0.9999,0.9999,0.0041,0.9992,0.9989,0.9991,0.999
105,0.0005,0.9999,0.9999,0.9999,0.9999,0.0048,0.9993,0.999,0.9991,0.9992
106,0.0012,0.9997,0.9997,0.9997,0.9997,0.0065,0.9989,0.9987,0.9989,0.9989
107,0.0005,0.9999,0.9999,0.9999,0.9999,0.0045,0.9992,0.9992,0.9993,0.9993
108,0.0001,1.0,1.0,1.0,1.0,0.0036,0.9994,0.9992,0.9993,0.9993
109,0.0,1.0,1.0,1.0,1.0,0.0035,0.9994,0.9993,0.9994,0.9994
110,0.0007,0.9999,0.9998,0.9999,0.9999,0.0049,0.9992,0.9989,0.9991,0.9991
111,0.0006,0.9999,0.9998,0.9998,0.9998,0.0056,0.9991,0.9988,0.9989,0.999
112,0.0012,0.9997,0.9996,0.9997,0.9997,0.0051,0.9991,0.9988,0.9989,0.9991
113,0.0006,0.9998,0.9998,0.9998,0.9998,0.004,0.9992,0.9988,0.9989,0.999
114,0.0003,0.9999,0.9999,0.9999,0.9999,0.0046,0.9993,0.9991,0.9992,0.9993
115,0.0003,0.9999,0.9999,0.9999,0.9999,0.0051,0.9992,0.999,0.9991,0.9991
116,0.0009,0.9998,0.9998,0.9998,0.9998,0.0058,0.9991,0.9988,0.999,0.999
117,0.0006,0.9999,0.9999,0.9999,0.9999,0.0059,0.9991,0.999,0.9992,0.9992
118,0.001,0.9998,0.9998,0.9998,0.9998,0.006,0.9991,0.9988,0.9988,0.999
119,0.0001,1.0,1.0,1.0,1.0,0.0041,0.9992,0.9988,0.9989,0.9991
120,0.0,1.0,1.0,1.0,1.0,0.0042,0.9993,0.9991,0.9991,0.9992
121,0.0009,0.9998,0.9998,0.9999,0.9999,0.0058,0.9991,0.9988,0.999,0.9989
122,0.0012,0.9998,0.9997,0.9997,0.9997,0.0041,0.9993,0.9991,0.9992,0.9992
123,0.0002,1.0,1.0,1.0,1.0,0.0038,0.9994,0.9993,0.9994,0.9994
124,0.0007,0.9998,0.9998,0.9998,0.9998,0.0046,0.9991,0.9989,0.999,0.999
125,0.0005,0.9999,0.9999,0.9999,0.9999,0.0097,0.9985,0.9982,0.9984,0.9983
126,0.0008,0.9999,0.9998,0.9999,0.9998,0.0036,0.999,0.9989,0.999,0.999
127,0.001,0.9998,0.9997,0.9998,0.9997,0.0041,0.9992,0.9992,0.9993,0.9993
