,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
1,1.2501,0.693,0.6429,0.6659,0.6475,0.1333,0.9712,0.9566,0.9604,0.9608
2,0.0986,0.9786,0.9672,0.9701,0.9701,0.0555,0.9876,0.9802,0.9819,0.9819
3,0.0569,0.9872,0.9801,0.9819,0.9819,0.053,0.9887,0.9825,0.9841,0.9841
4,0.0433,0.99,0.9845,0.9858,0.9859,0.064,0.985,0.9761,0.9781,0.9784
5,0.0368,0.9913,0.9867,0.9879,0.9879,0.0569,0.9869,0.9797,0.9814,0.9817
6,0.026,0.9939,0.9906,0.9916,0.9914,0.0297,0.9929,0.9892,0.9903,0.9901
7,0.0227,0.9945,0.9914,0.9922,0.9921,0.0293,0.9935,0.9898,0.9908,0.9906
8,0.0211,0.995,0.9924,0.9932,0.9931,0.0232,0.9946,0.992,0.9928,0.9928
9,0.0171,0.9958,0.9934,0.9939,0.994,0.0308,0.9928,0.9886,0.9896,0.9896
10,0.0142,0.9966,0.9946,0.995,0.9951,0.0229,0.9955,0.9928,0.9934,0.9935
11,0.0164,0.9961,0.994,0.9945,0.9945,0.0599,0.9885,0.9817,0.9836,0.983
12,0.0127,0.9969,0.9949,0.9954,0.9954,0.0241,0.9948,0.9915,0.9923,0.9922
13,0.0112,0.9972,0.9957,0.9961,0.9962,0.0309,0.9929,0.9898,0.9908,0.9909
14,0.0092,0.9978,0.9965,0.9968,0.9968,0.0191,0.9962,0.9941,0.9947,0.9946
15,0.0114,0.9973,0.9959,0.9963,0.9963,0.0288,0.9942,0.991,0.9918,0.9919
16,0.0072,0.9982,0.9971,0.9974,0.9973,0.0225,0.9956,0.993,0.9937,0.9936
17,0.01,0.9977,0.9964,0.9968,0.9968,0.0171,0.9967,0.9948,0.9952,0.9953
18,0.0083,0.9979,0.9969,0.9972,0.9972,0.0176,0.9964,0.9942,0.9946,0.9948
19,0.0072,0.9984,0.9974,0.9977,0.9977,0.0217,0.996,0.9937,0.9943,0.9943
20,0.0062,0.9985,0.9975,0.9976,0.9977,0.0205,0.9963,0.9944,0.9949,0.9949
21,0.0073,0.9981,0.9969,0.9972,0.9971,0.0145,0.9968,0.9949,0.9954,0.9954
22,0.0031,0.9993,0.9989,0.999,0.999,0.0522,0.9899,0.9836,0.9852,0.9848
23,0.0085,0.998,0.9967,0.997,0.997,0.0205,0.9961,0.994,0.9945,0.9946
24,0.0048,0.999,0.9984,0.9985,0.9986,0.0192,0.9962,0.9941,0.9946,0.9946
25,0.0051,0.9988,0.9981,0.9982,0.9983,0.0183,0.9964,0.9942,0.9946,0.9947
26,0.0058,0.9986,0.9977,0.9979,0.9979,0.0211,0.9961,0.9938,0.9943,0.9944
27,0.0047,0.9989,0.9984,0.9985,0.9985,0.0149,0.9971,0.9953,0.9957,0.9958
28,0.0044,0.9989,0.9984,0.9986,0.9986,0.0174,0.9966,0.9951,0.9956,0.9957
29,0.0045,0.9989,0.9982,0.9983,0.9984,0.0141,0.9972,0.9955,0.9959,0.996
31,0.0059,0.9987,0.9981,0.9982,0.9983,0.0151,0.9973,0.9954,0.9958,0.9958
32,0.003,0.9993,0.9988,0.9989,0.999,0.018,0.9966,0.9946,0.9951,0.9951
33,0.0034,0.9992,0.9986,0.9988,0.9987,0.0164,0.9968,0.9953,0.9959,0.9956
34,0.0041,0.9991,0.9987,0.9989,0.9988,0.0121,0.9977,0.9963,0.9967,0.9965
35,0.003,0.9993,0.9991,0.9992,0.9992,0.0169,0.9971,0.9951,0.9956,0.9955
36,0.0034,0.9992,0.9988,0.999,0.9989,0.0162,0.9969,0.9951,0.9955,0.9956
37,0.004,0.9991,0.9986,0.9987,0.9987,0.0267,0.9945,0.9915,0.9924,0.9922
38,0.0028,0.9993,0.9988,0.9989,0.9989,0.0166,0.9968,0.9949,0.9954,0.9953
39,0.0031,0.9992,0.9989,0.999,0.999,0.0269,0.995,0.9922,0.9928,0.9929
40,0.0036,0.9991,0.9986,0.9987,0.9988,0.0197,0.9964,0.994,0.9945,0.9944
41,0.0035,0.9992,0.9987,0.9988,0.9988,0.0153,0.997,0.9951,0.9955,0.9954
42,0.0028,0.9994,0.999,0.9991,0.9991,0.0193,0.9967,0.9947,0.9953,0.9951
43,0.0036,0.9992,0.9987,0.9988,0.9988,0.0203,0.9964,0.9946,0.9951,0.9951
44,0.0017,0.9995,0.9993,0.9994,0.9994,0.0161,0.9973,0.9957,0.996,0.9961
45,0.0003,1.0,0.9999,0.9999,0.9999,0.0123,0.998,0.9972,0.9974,0.9976
46,0.0049,0.9989,0.9985,0.9986,0.9986,0.0166,0.9967,0.9951,0.9956,0.9956
47,0.0023,0.9994,0.9991,0.9992,0.9993,0.018,0.9968,0.9952,0.9956,0.9956
48,0.0032,0.9993,0.9988,0.9989,0.9989,0.0155,0.9973,0.9962,0.9966,0.9965
49,0.0014,0.9997,0.9995,0.9995,0.9995,0.0143,0.9971,0.995,0.9956,0.9953
50,0.0035,0.9991,0.9986,0.9987,0.9987,0.0161,0.9972,0.9956,0.9961,0.9959
51,0.0017,0.9996,0.9994,0.9994,0.9994,0.0263,0.9958,0.9941,0.9947,0.9947
52,0.0025,0.9995,0.9993,0.9993,0.9993,0.0144,0.9973,0.9957,0.996,0.9961
53,0.0021,0.9996,0.9993,0.9993,0.9993,0.0281,0.9948,0.9923,0.993,0.9931
54,0.0016,0.9996,0.9994,0.9994,0.9994,0.0174,0.997,0.9953,0.9955,0.9959
55,0.0028,0.9993,0.9989,0.999,0.999,0.0187,0.9971,0.9954,0.9958,0.9958
56,0.0022,0.9995,0.9993,0.9993,0.9993,0.0147,0.9971,0.9954,0.9958,0.9958
57,0.0016,0.9996,0.9993,0.9994,0.9994,0.0136,0.9974,0.9959,0.9963,0.9963
58,0.0015,0.9997,0.9995,0.9995,0.9996,0.0231,0.9958,0.9932,0.9938,0.994
59,0.0025,0.9994,0.9991,0.9992,0.9992,0.0191,0.9969,0.9951,0.9956,0.9956
60,0.0018,0.9995,0.9993,0.9994,0.9994,0.0131,0.9973,0.995,0.9953,0.9953
61,0.0016,0.9997,0.9995,0.9995,0.9995,0.0188,0.9963,0.9937,0.9942,0.9942
62,0.0017,0.9996,0.9994,0.9995,0.9995,0.0168,0.9971,0.9958,0.9962,0.9962
63,0.0017,0.9996,0.9994,0.9994,0.9994,0.0316,0.995,0.992,0.9928,0.9927
64,0.0017,0.9997,0.9995,0.9996,0.9996,0.015,0.9975,0.9959,0.9962,0.9962
65,0.0015,0.9997,0.9996,0.9996,0.9996,0.0191,0.9968,0.995,0.9953,0.9955
66,0.0027,0.9994,0.9991,0.9991,0.9991,0.0164,0.9973,0.9959,0.9962,0.9963
67,0.0018,0.9996,0.9993,0.9994,0.9994,0.0144,0.9976,0.9965,0.9969,0.9967
68,0.0011,0.9997,0.9995,0.9996,0.9996,0.0174,0.9968,0.9948,0.9952,0.9952
69,0.0023,0.9995,0.9992,0.9993,0.9993,0.0172,0.9971,0.995,0.9954,0.9954
70,0.0013,0.9997,0.9995,0.9995,0.9996,0.0197,0.9966,0.9945,0.9951,0.995
71,0.002,0.9995,0.9992,0.9993,0.9993,0.019,0.9969,0.9955,0.9959,0.996
72,0.0012,0.9996,0.9995,0.9995,0.9996,0.0191,0.9972,0.9957,0.996,0.9961
73,0.0025,0.9994,0.999,0.999,0.9991,0.0146,0.9978,0.9963,0.9965,0.9967
74,0.0006,0.9999,0.9998,0.9999,0.9999,0.0115,0.9981,0.997,0.9973,0.9973
75,0.0019,0.9997,0.9996,0.9996,0.9996,0.016,0.9977,0.9966,0.997,0.9969
76,0.0021,0.9996,0.9993,0.9994,0.9994,0.0192,0.9966,0.9952,0.9957,0.9958
77,0.0012,0.9997,0.9996,0.9997,0.9997,0.0179,0.9968,0.9949,0.9952,0.9955
78,0.0021,0.9995,0.9993,0.9994,0.9994,0.0128,0.9978,0.9967,0.997,0.9969
79,0.0008,0.9998,0.9996,0.9997,0.9997,0.0135,0.9976,0.9961,0.9965,0.9965
80,0.0016,0.9995,0.9993,0.9994,0.9994,0.0153,0.9972,0.9957,0.9959,0.9962
81,0.0013,0.9997,0.9995,0.9995,0.9995,0.013,0.9978,0.9964,0.9967,0.9968
82,0.0013,0.9998,0.9996,0.9997,0.9997,0.0193,0.9969,0.9954,0.9959,0.9957
83,0.0016,0.9996,0.9994,0.9994,0.9994,0.0188,0.9972,0.9958,0.9962,0.9961
84,0.0012,0.9997,0.9996,0.9996,0.9996,0.0145,0.9975,0.9962,0.9965,0.9966
85,0.0012,0.9997,0.9996,0.9996,0.9996,0.0231,0.9962,0.9945,0.9949,0.9952
86,0.0014,0.9997,0.9995,0.9995,0.9995,0.0139,0.9974,0.996,0.9963,0.9964
87,0.0017,0.9996,0.9994,0.9994,0.9994,0.0182,0.997,0.9952,0.9957,0.9957
88,0.0019,0.9996,0.9994,0.9995,0.9995,0.0143,0.9977,0.9965,0.9968,0.9968
89,0.0005,0.9999,0.9999,0.9999,0.9999,0.0136,0.9978,0.9961,0.9964,0.9963
90,0.0018,0.9997,0.9994,0.9994,0.9995,0.0143,0.9974,0.9957,0.9961,0.996
91,0.0013,0.9997,0.9996,0.9996,0.9996,0.0162,0.9973,0.9962,0.9966,0.9965
92,0.0009,0.9998,0.9997,0.9997,0.9997,0.0145,0.9977,0.9959,0.9963,0.9961
93,0.0012,0.9997,0.9995,0.9996,0.9996,0.0154,0.9976,0.9963,0.9967,0.9966
94,0.0018,0.9996,0.9993,0.9994,0.9994,0.018,0.997,0.9953,0.9957,0.9957
