,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
1,0.4913,0.8773,0.8632,0.8785,0.8701,0.0815,0.9796,0.9767,0.9784,0.9794
2,0.0561,0.9861,0.9844,0.9863,0.9857,0.0997,0.9763,0.9737,0.9753,0.9772
3,0.0423,0.9895,0.9882,0.9898,0.9889,0.0314,0.9921,0.9913,0.9921,0.9922
4,0.03,0.9923,0.9913,0.9924,0.9919,0.0307,0.992,0.991,0.992,0.9918
5,0.029,0.9925,0.9916,0.9926,0.9922,0.0256,0.9929,0.9923,0.993,0.993
6,0.0203,0.9947,0.9942,0.9948,0.9946,0.0224,0.9941,0.9938,0.9943,0.9943
7,0.0189,0.9948,0.9942,0.9949,0.9946,0.0613,0.9837,0.982,0.9838,0.9836
8,0.0173,0.9955,0.995,0.9957,0.9953,0.0229,0.9939,0.9933,0.994,0.9939
9,0.0143,0.9961,0.9956,0.9961,0.9958,0.087,0.9823,0.9813,0.9826,0.9844
10,0.0127,0.9965,0.9961,0.9966,0.9963,0.0347,0.9917,0.9908,0.9918,0.9915
11,0.0117,0.9969,0.9966,0.9971,0.9968,0.0291,0.9921,0.991,0.9921,0.9918
12,0.0114,0.997,0.9966,0.997,0.9969,0.0157,0.9959,0.9954,0.9959,0.9958
13,0.0092,0.9976,0.9973,0.9977,0.9974,0.025,0.9944,0.9938,0.9943,0.9945
14,0.0085,0.9978,0.9976,0.9979,0.9977,0.026,0.9938,0.9931,0.9937,0.9939
15,0.0079,0.9979,0.9976,0.998,0.9976,0.0197,0.9955,0.995,0.9955,0.9955
16,0.007,0.9981,0.9979,0.9982,0.998,0.0186,0.9953,0.9948,0.9953,0.9953
17,0.0075,0.9979,0.9977,0.998,0.9978,0.0199,0.995,0.9944,0.9949,0.9948
18,0.0057,0.9983,0.9982,0.9985,0.9982,0.0321,0.9928,0.9921,0.9928,0.9929
19,0.0056,0.9985,0.9984,0.9986,0.9985,0.0179,0.9958,0.9954,0.9958,0.9958
20,0.0052,0.9987,0.9986,0.9988,0.9987,0.0195,0.9954,0.995,0.9954,0.9955
21,0.0045,0.9987,0.9985,0.9988,0.9985,0.0229,0.9953,0.9946,0.9951,0.9951
22,0.0049,0.9985,0.9984,0.9986,0.9985,0.0143,0.9968,0.9965,0.9969,0.9967
23,0.0039,0.9989,0.9988,0.999,0.9988,0.0223,0.9948,0.9939,0.9942,0.9946
24,0.0044,0.9988,0.9986,0.9988,0.9987,0.0155,0.9964,0.9961,0.9963,0.9966
25,0.0042,0.9989,0.9988,0.9989,0.9988,0.0983,0.9823,0.9805,0.9819,0.9837
26,0.0038,0.999,0.9989,0.999,0.999,0.0175,0.9967,0.9965,0.9969,0.9968
27,0.0039,0.9991,0.9989,0.9991,0.999,0.0162,0.9961,0.9956,0.9962,0.9959
28,0.0036,0.9991,0.999,0.9991,0.999,0.0159,0.9967,0.9964,0.9966,0.9969
29,0.0035,0.9991,0.9989,0.9991,0.999,0.0195,0.9958,0.9953,0.9956,0.996
30,0.0033,0.9991,0.9989,0.9991,0.999,0.0146,0.9973,0.997,0.9973,0.9973
31,0.0027,0.9994,0.9993,0.9994,0.9994,0.0403,0.9916,0.9909,0.9917,0.992
32,0.0037,0.9992,0.999,0.9992,0.999,0.015,0.9967,0.9961,0.9965,0.9964
33,0.0038,0.999,0.9989,0.9991,0.999,0.0168,0.9965,0.9962,0.9965,0.9965
34,0.003,0.9992,0.999,0.9992,0.999,0.0368,0.9925,0.9921,0.9928,0.9928
35,0.0024,0.9994,0.9993,0.9994,0.9993,0.0197,0.9961,0.9956,0.996,0.9961
36,0.0024,0.9994,0.9994,0.9994,0.9994,0.0188,0.996,0.9956,0.996,0.9961
37,0.0026,0.9994,0.9993,0.9994,0.9993,0.0173,0.9962,0.9958,0.996,0.9964
38,0.0022,0.9994,0.9993,0.9995,0.9994,0.0203,0.996,0.9957,0.9959,0.9961
39,0.0021,0.9994,0.9994,0.9994,0.9994,0.0193,0.9959,0.9953,0.9958,0.9955
40,0.0027,0.9993,0.9993,0.9994,0.9993,0.0161,0.9967,0.9961,0.9966,0.9964
41,0.0023,0.9994,0.9994,0.9995,0.9994,0.0161,0.9963,0.9952,0.9958,0.9953
42,0.0022,0.9996,0.9996,0.9997,0.9996,0.0302,0.993,0.9922,0.9929,0.993
43,0.0021,0.9994,0.9994,0.9995,0.9994,0.0169,0.9967,0.9962,0.9966,0.9964
44,0.0028,0.9994,0.9993,0.9994,0.9994,0.019,0.9958,0.9955,0.996,0.9959
45,0.002,0.9994,0.9993,0.9995,0.9993,0.0166,0.9965,0.9961,0.9964,0.9965
46,0.0015,0.9996,0.9995,0.9996,0.9995,0.0139,0.9972,0.997,0.9973,0.9973
47,0.0027,0.9994,0.9993,0.9994,0.9993,0.018,0.9964,0.9962,0.9965,0.9966
48,0.0019,0.9995,0.9994,0.9995,0.9995,0.0174,0.9963,0.9956,0.9961,0.996
49,0.0014,0.9996,0.9996,0.9996,0.9996,0.0179,0.9967,0.9962,0.9966,0.9966
50,0.0023,0.9994,0.9993,0.9994,0.9993,0.0161,0.9964,0.9962,0.9967,0.9965
51,0.0017,0.9996,0.9996,0.9996,0.9996,0.0145,0.997,0.9969,0.997,0.9973
