,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
1,0.8562,0.7711,0.7354,0.7587,0.7418,0.6218,0.8487,0.8017,0.8317,0.8094
2,0.0781,0.9827,0.9753,0.9784,0.9782,0.0407,0.99,0.9852,0.9868,0.9869
3,0.0456,0.9896,0.9849,0.9866,0.9867,0.0499,0.9885,0.9834,0.9848,0.9856
4,0.0351,0.9916,0.9878,0.9893,0.9891,4.1247,0.416,0.3563,0.3996,0.4041
5,0.037,0.9912,0.9878,0.9894,0.9891,0.028,0.9943,0.9921,0.993,0.9929
6,0.022,0.9948,0.9925,0.9933,0.9934,3.7561,0.6074,0.576,0.5942,0.6122
7,0.0262,0.9944,0.9923,0.9933,0.9931,0.0143,0.9966,0.9949,0.9955,0.9955
8,0.0147,0.9965,0.9952,0.9958,0.9957,0.0202,0.9953,0.9941,0.9948,0.995
9,0.0156,0.9963,0.9947,0.9953,0.9953,0.0228,0.9943,0.9921,0.993,0.9932
10,0.012,0.9972,0.996,0.9965,0.9965,0.1755,0.9649,0.9567,0.96,0.9655
11,0.0128,0.9971,0.9958,0.9963,0.9962,0.0149,0.997,0.9955,0.9959,0.9959
12,0.0108,0.9972,0.9959,0.9963,0.9963,0.7375,0.8952,0.8735,0.8848,0.8899
13,0.012,0.9975,0.9965,0.997,0.9969,0.0274,0.9955,0.9936,0.9943,0.9944
14,0.0103,0.9978,0.997,0.9974,0.9973,0.019,0.996,0.9944,0.995,0.9951
15,0.0085,0.9981,0.9972,0.9976,0.9975,0.0145,0.9974,0.9959,0.9964,0.9964
16,0.0061,0.9987,0.9982,0.9984,0.9984,0.0086,0.9985,0.9978,0.998,0.9981
17,0.0078,0.9982,0.9973,0.9977,0.9976,0.0104,0.998,0.9973,0.9976,0.9977
18,0.0059,0.9988,0.9981,0.9983,0.9984,0.1392,0.9563,0.9408,0.9482,0.9415
19,0.0067,0.9984,0.9976,0.9979,0.9978,0.0115,0.9979,0.9971,0.9974,0.9974
20,0.0052,0.9989,0.9984,0.9986,0.9985,0.0113,0.9979,0.9971,0.9974,0.9975
21,0.0055,0.9987,0.998,0.9983,0.9983,0.012,0.9979,0.9969,0.9972,0.9973
22,0.0043,0.9991,0.9988,0.9989,0.9989,0.0082,0.9983,0.9975,0.9978,0.9978
23,0.0059,0.9987,0.9983,0.9985,0.9985,0.016,0.9968,0.996,0.9966,0.9966
24,0.0041,0.9991,0.9988,0.999,0.9989,0.0126,0.9978,0.997,0.9974,0.9974
25,0.0041,0.9991,0.9986,0.9988,0.9988,0.0094,0.9984,0.9972,0.9975,0.9974
26,0.0043,0.9991,0.9987,0.9989,0.9989,0.0092,0.9985,0.9979,0.9982,0.9982
27,0.0049,0.9989,0.9983,0.9985,0.9985,0.008,0.9983,0.9978,0.9981,0.998
28,0.0036,0.9993,0.999,0.9992,0.9991,0.0115,0.9982,0.9973,0.9975,0.9976
29,0.0041,0.9991,0.9986,0.9988,0.9988,0.0123,0.9982,0.9973,0.9976,0.9976
30,0.0029,0.9994,0.9992,0.9993,0.9994,0.0075,0.9985,0.9977,0.9979,0.9978
31,0.0034,0.9993,0.999,0.9991,0.9991,0.0087,0.9985,0.998,0.9982,0.9983
32,0.0032,0.9994,0.9991,0.9993,0.9992,0.0133,0.9976,0.9965,0.9969,0.9969
33,0.0039,0.9991,0.9987,0.9989,0.9989,0.0137,0.9972,0.9957,0.9962,0.9961
34,0.0034,0.9993,0.999,0.9991,0.9991,0.0095,0.9982,0.997,0.9974,0.9973
35,0.0029,0.9993,0.9991,0.9992,0.9992,0.0084,0.9983,0.9972,0.9976,0.9975
36,0.0024,0.9995,0.9993,0.9994,0.9993,0.0104,0.9982,0.997,0.9974,0.9973
37,0.0023,0.9996,0.9994,0.9995,0.9995,0.0119,0.9978,0.9967,0.997,0.9972
38,0.0031,0.9993,0.9991,0.9992,0.9992,0.0097,0.998,0.9969,0.9973,0.9973
39,0.0021,0.9996,0.9993,0.9994,0.9994,0.0088,0.9984,0.9973,0.9976,0.9976
40,0.0032,0.9994,0.9991,0.9993,0.9992,0.008,0.9986,0.998,0.9982,0.9982
41,0.003,0.9993,0.999,0.9992,0.9991,0.0082,0.9984,0.998,0.9983,0.9983
42,0.0011,0.9998,0.9997,0.9997,0.9997,0.0087,0.9985,0.9979,0.9982,0.9981
43,0.0029,0.9994,0.9991,0.9992,0.9992,0.0116,0.9979,0.9969,0.9973,0.9972
44,0.0022,0.9995,0.9994,0.9995,0.9995,0.0072,0.9987,0.998,0.9982,0.9983
45,0.0022,0.9995,0.9993,0.9993,0.9994,0.0113,0.9979,0.9968,0.9972,0.9972
46,0.0021,0.9995,0.9993,0.9994,0.9994,0.0109,0.9982,0.9974,0.9978,0.9977
47,0.0021,0.9996,0.9994,0.9995,0.9995,0.01,0.9983,0.9974,0.9976,0.9977
48,0.0031,0.9993,0.999,0.9991,0.9991,0.0108,0.9978,0.9968,0.9971,0.9973
49,0.0018,0.9996,0.9994,0.9995,0.9995,0.007,0.9986,0.9979,0.9982,0.9981
50,0.0019,0.9996,0.9994,0.9995,0.9995,0.009,0.9983,0.9975,0.9978,0.9978
